yeduc,p105,birthyr,birthprov,p509kab,weight,p607,classwk,wage,birthpl,lhwage,lwage,p504th,resid,n_inpres_schools,high_inpres,child_pop_71,en71,wsppc,dens71,treat1b,treat2b,dum,moldyed,java,urban,year,age74,old,young,reallyold,pool_old_birthyr,yeduc_hat,yeduc_hat_single_IV,_yeduc_hat_single_IV_no_loo,yeduc_hat_single_IV_no_loo,yeduc_hat_no_loo,yeduc_hat_no_loo_check
5,2,1971,11,1,131,17,4,170000,1101,6.7254338,12.043553,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.865305,10.432178,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
6,2,1959,11,1,131,33,4,150000,1101,7.3540425,11.91839,59,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,15,1,0,0,0,10.083935,9.9402618,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
11,1,1954,11,1,195,91,4,349000,1101,7.793014,12.762827,54,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,20,0,,1,0,10.0833,,,,10.08344198688924,10.08360943434158
17,2,1954,11,1,131,91,4,349000,1101,7.505332,12.762827,54,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,20,0,,1,0,10.082433,,,,10.08344198688924,10.08360943434158
9,2,1964,11,1,131,33,4,300000,1101,7.3540425,12.611538,64,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,64,7.0631027,0,0,1995,10,0,,0,1964,9.8471212,,,,9.845214257879205,9.845355056573148
5,2,1966,11,1,76,17,4,120000,1101,6.5712829,11.695247,66,1203,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,66,7.0631027,0,0,1995,8,0,,0,1966,10.106835,,,,10.10128602564848,10.10145378044096
9,2,1968,11,1,131,15,4,350000,1101,7.5507526,12.765689,68,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.634876,10.431054,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
8,1,1956,11,1,10,51,4,427000,1101,7.6270013,12.96454,56,1373,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,18,0,,1,0,10.083708,,,,10.08344198688924,10.08360943434158
9,2,1972,11,1,101,51,4,150000,1101,6.5067444,11.91839,72,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,72,7.0631027,0,0,1995,2,0,1,0,1972,10.649165,10.431009,10.43069088753915,10.430691,10.64897013019299,10.6491647466483
15,1,1965,11,1,99,93,4,201000,1101,7.3590298,12.211061,65,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,65,7.0631027,0,0,1995,9,0,,0,1965,10.233145,,,,10.23792203934064,10.2380927180182
6,2,1962,11,1,131,31,4,50000,1101,5.5416636,10.819778,62,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.16975,9.9406948,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
17,1,1963,11,1,132,91,4,227000,1101,7.6505742,12.332705,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.4981279,,,,9.503044356277309,9.503221139393387
6,2,1956,11,1,131,17,4,60000,1101,5.8546052,11.0021,56,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,18,0,,1,0,10.083982,,,,10.08344198688924,10.08360943434158
14,1,1962,11,1,132,91,4,308000,1101,7.755053,12.637856,62,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.158997,9.9381809,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
9,2,1956,11,1,131,71,4,200000,1101,6.7944264,12.206073,56,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,18,0,,1,0,10.083571,,,,10.08344198688924,10.08360943434158
9,2,1970,11,1,131,12,4,97000,1101,6.6949744,11.482467,70,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,70,7.0631027,0,0,1995,4,0,1,0,1970,10.418435,10.431005,10.43069088753915,10.430691,10.41826147217424,10.41845020893324
12,2,1971,11,1,131,17,4,60000,1101,5.7446046,11.0021,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.862387,10.430154,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
9,2,1966,11,1,121,74,4,200000,1101,6.7944264,12.206073,66,1303,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,66,7.0631027,0,0,1995,8,0,,0,1966,10.102458,,,,10.10128602564848,10.10145378044096
12,2,1962,11,1,131,64,4,70000,1101,5.6268215,11.156251,62,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.161685,9.9388094,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
5,2,1971,11,1,131,15,4,200000,1101,6.7254338,12.206073,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.865305,10.432178,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
14,2,1961,11,1,131,91,4,255000,1101,7.3250546,12.449018,61,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,13,1,0,0,0,10.082691,9.9381456,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
9,2,1972,11,1,101,71,4,150000,1101,6.5067444,11.91839,72,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,72,7.0631027,0,0,1995,2,0,1,0,1972,10.649165,10.431009,10.43069088753915,10.430691,10.64897013019299,10.6491647466483
6,2,1971,11,1,131,33,4,100000,1101,6.3889613,11.512925,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.864888,10.43189,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
6,2,1960,11,1,131,33,4,160000,1101,7.0412865,11.982929,60,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.08413,9.9405642,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,2,1962,11,1,131,93,4,150000,1101,6.8432169,11.91839,62,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.16975,9.9406948,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
9,2,1960,11,1,161,95,4,200000,1101,6.927958,12.206073,60,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.083591,9.9396801,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,2,1960,11,1,131,33,4,250000,1101,6.8685346,12.429216,60,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.08413,9.9405642,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
