yeduc,p105,birthyr,birthprov,p509kab,weight,p607,classwk,wage,birthpl,lhwage,lwage,p504th,resid,n_inpres_schools,high_inpres,child_pop_71,en71,wsppc,dens71,treat1b,treat2b,dum,moldyed,java,urban,year,age74,old,young,reallyold,pool_old_birthyr,yeduc_hat,yeduc_hat_single_IV,_yeduc_hat_single_IV_no_loo,yeduc_hat_single_IV_no_loo,yeduc_hat_no_loo,yeduc_hat_no_loo_check,lazy_reg_test,lhwage_resid,yeduc_resid,young_x_n_inpres,schools_resid,yeduc_hat_single_IV_po_no_loo,yeduc_resid_po,schools_resid_po,lhwage_resid_po,_yeduc_resid_po,_schools_resid_po,_lhwage_resid_po,yeduc_hat_single_IV_po
5,2,1971,11,1,131,17,4,170000,1101,6.7254338,12.043553,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.865305,10.432178,10.43069088753915,10.430691,10.86333535196814,10.86350852358058,10.028607,.050400089,-4.1177588,2.7295361,.079307333,.014273072,-4.1756573,.080422454,.051108751,-4.1154408,.07922931,.050655872,.01553829
6,2,1959,11,1,131,33,4,150000,1101,7.3540425,11.91839,59,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,15,1,0,0,0,10.083935,9.9402618,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158,10.297708,.1141361,-3.7128637,0,.021761699,.0039164918,-3.7674296,.022081519,.11581349,-3.7351236,.022510998,.11167978,.0048411102
11,1,1954,11,1,195,91,4,349000,1101,7.793014,12.762827,54,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,20,0,,1,0,10.0833,,,,10.08344198688924,10.08360943434158,,.64656329,2.1209927,,,,,,,2.1221783,,.64669412,
17,2,1954,11,1,131,91,4,349000,1101,7.505332,12.762827,54,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,20,0,,1,0,10.082433,,,,10.08344198688924,10.08360943434158,,.35888124,8.1209927,,,,,,,8.1221781,,.35901204,
9,2,1964,11,1,131,33,4,300000,1101,7.3540425,12.611538,64,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,64,7.0631027,0,0,1995,10,0,,0,1964,9.8471212,,,,9.845214257879205,9.845355056573148,,.20759176,.12099266,,,,,,,.1221782,,.20772259,
5,2,1966,11,1,76,17,4,120000,1101,6.5712829,11.695247,66,1203,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,66,7.0631027,0,0,1995,8,0,,0,1966,10.106835,,,,10.10128602564848,10.10145378044096,,-.57516789,-3.8790073,,,,,,,-3.8778217,,-.57503706,
9,2,1968,11,1,131,15,4,350000,1101,7.5507526,12.765689,68,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.634876,10.431054,10.43069088753915,10.430691,10.63436602831066,10.63487610122281,10.028607,.69973832,-.43626049,2.7295361,.11054906,.019895697,-.44255185,.11214331,.70982939,-.43142292,.11038622,.70027214,.020442136
8,1,1956,11,1,10,51,4,427000,1101,7.6270013,12.96454,56,1373,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,18,0,,1,0,10.083708,,,,10.08344198688924,10.08360943434158,,.48055053,-.87900734,,,,,,,-.8778218,,.48068133,
9,2,1972,11,1,101,51,4,150000,1101,6.5067444,11.91839,72,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,72,7.0631027,0,0,1995,2,0,1,0,1972,10.649165,10.431009,10.43069088753915,10.430691,10.64897013019299,10.6491647466483,10.028607,-.18404828,.10945452,2.7295361,.048952501,.0088100648,.1110949,.049686145,-.18680659,.11294084,.048835143,-.18366358,.008976886
15,1,1965,11,1,99,93,4,201000,1101,7.3590298,12.211061,65,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,65,7.0631027,0,0,1995,9,0,,0,1965,10.233145,,,,10.23792203934064,10.2380927180182,,.212579,6.1209927,,,,,,,6.1221781,,.21270983,
